排名,电影名称,导演,上映年份,制作国家,类型,评分,评价人数
1,肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,9.7,2972819
2,霸王别姬,导演: 陈凯歌 Kaige Chen,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2196790
3,阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,1994,美国,剧情 爱情,9.5,2215566
4,泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron,1997,美国 墨西哥,剧情 爱情 灾难,9.5,2251881
5,这个杀手不太冷,导演: 吕克·贝松 Luc Besson,1994,法国 美国,剧情 动作 犯罪,9.4,2346831
6,千与千寻,导演: 宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,9.4,2298840
7,美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,9.5,1357690
8,星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,1908978
9,盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,2118741
10,辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,9.5,1146954
11,楚门的世界,导演: 彼得·威尔 Peter Weir,1998,美国,剧情 科幻,9.4,1768921
12,忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,9.4,1427072
13,海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,9.3,1716096
14,三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1901722
15,放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,2004,法国 瑞士 德国,剧情 音乐,9.3,1345437
16,机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,2008,美国,科幻 动画 冒险,9.3,1349314
17,疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,美国,喜剧 动画 冒险,9.2,2002132
18,无间道,导演: 刘伟强 / 麦兆辉,2002,中国香港,剧情 犯罪 惊悚,9.3,1404476
19,控方证人,导演: 比利·怀尔德 Billy Wilder,1957,美国,剧情 犯罪 悬疑,9.6,590926
20,大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1569169
21,熔炉,导演: 黄东赫 Dong-hyuk Hwang,2011,韩国,剧情,9.4,953653
22,教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,美国,剧情 犯罪,9.3,995046
23,触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,法国,剧情 喜剧,9.3,1152399
24,当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,2006,美国,剧情 传记 家庭,9.2,1555073
25,寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,美国,喜剧 动画 奇幻 音乐,9.1,1738396
26,末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,914896
27,龙猫,导演: 宫崎骏 Hayao Miyazaki,1988,日本,动画 奇幻 冒险,9.2,1296067
28,怦然心动,导演: 罗伯·莱纳 Rob Reiner,2010,美国,剧情 喜剧 爱情,9.1,1877849
29,活着,导演: 张艺谋 Yimou Zhang,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,872041
30,哈利·波特与魔法石,导演: Chris Columbus,2001,美国 英国,奇幻 冒险,9.2,1233142
31,蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,1089987
32,指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,825349
33,我不是药神,导演: 文牧野 Muye Wen,2018,中国大陆,剧情 喜剧,9.0,2155615
34,乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,美国,剧情 历史 爱情 战争,9.3,710160
35,飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,美国,剧情 喜剧 动画 冒险,9.1,1361765
36,素媛,导演: 李濬益 Jun-ik Lee,2013,韩国,剧情,9.3,705795
37,十二怒汉,导演: Sidney Lumet,1957,美国,剧情,9.4,508111
38,哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki,2004,日本,动画 奇幻 冒险,9.1,1056283
39,让子弹飞,导演: 姜文 Wen Jiang,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,1743770
40,何以为家,导演: 娜丁·拉巴基 Nadine Labaki,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,1070792
41,摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari,2016,印度,剧情 传记 运动 家庭,9.0,1604346
42,猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2002,美国 加拿大,传记 犯罪 剧情,9.1,1063088
43,天空之城,导演: 宫崎骏 Hayao Miyazaki,1986,日本,动画 奇幻 冒险,9.2,902826
44,鬼子来了,导演: 姜文 Wen Jiang,2000,中国大陆,剧情 喜剧,9.3,643920
45,海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer,2015,德国 瑞士,剧情 冒险 家庭,9.3,647634
46,少年派的奇幻漂流,导演: 李安 Ang Lee,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1378680
47,钢琴家,导演: 罗曼·波兰斯基 Roman Polanski,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐,9.3,662943
48,大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1249535
49,指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,774574
50,闻香识女人,导演: 马丁·布莱斯 Martin Brest,1992,美国,剧情,9.1,914488
51,死亡诗社,导演: 彼得·威尔 Peter Weir,1989,美国,剧情,9.2,753737
52,绿皮书,导演: 彼得·法雷里 Peter Farrelly,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1697289
53,罗马假日,导演: 威廉·惠勒 William Wyler,1953,美国,喜剧 剧情 爱情,9.1,970830
54,大闹天宫,导演: 万籁鸣 Laiming Wan,1961(中国大陆) , 1964(中国大陆) , 1978(中国大陆),9.4,452569
55,天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1988,意大利 法国,剧情 爱情,9.2,692110
56,指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.1,870054
57,黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,美国,动作 科幻,9.1,858844
58,教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,美国,剧情 犯罪,9.3,569457
59,狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,美国,动画 冒险 歌舞,9.1,868212
60,辩护人,导演: 杨宇硕 Woo-seok Yang,2013,韩国,剧情,9.2,602114
61,饮食男女,导演: 李安 Ang Lee,1994,中国台湾 美国,剧情 家庭,9.2,639547
62,搏击俱乐部,导演: 大卫·芬奇 David Fincher,1999,美国,剧情 动作 悬疑 惊悚,9.0,869148
63,本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher,2008,美国,剧情 爱情 奇幻,9.0,1009398
64,美丽心灵,导演: 朗·霍华德 Ron Howard,2001,美国,传记 剧情,9.1,787748
65,穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman,2008,英国 美国,剧情 战争,9.2,582547
66,窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,2006,德国,剧情 悬疑,9.2,578664
67,情书,导演: 岩井俊二 Shunji Iwai,1995,日本,剧情 爱情,8.9,1149752
68,两杆大烟枪,导演: 盖·里奇 Guy Ritchie,1998,英国,剧情 喜剧 犯罪,9.1,609293
69,西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,2000,意大利 美国,剧情 战争 情色,8.9,1000214
70,音乐之声,导演: 罗伯特·怀斯 Robert Wise,1965,美国,剧情 传记 爱情 歌舞,9.1,619095
71,看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1306909
72,阿凡达,导演: 詹姆斯·卡梅隆 James Cameron,2009,美国,动作 科幻 冒险,8.8,1454979
73,哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates,2011,美国 英国,奇幻 冒险,9.0,857885
74,拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1998,美国,剧情 战争,9.1,663134
75,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman,1975,美国,剧情,9.1,559128
76,小鞋子,导演: 马基德·马基迪 Majid Majidi,1997,伊朗,剧情 儿童 家庭,9.2,421722
77,沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme,1991,美国,剧情 犯罪 惊悚,8.9,915395
78,功夫,导演: 周星驰 Stephen Chow,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.8,1173818
79,布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,969787
80,禁闭岛,导演: Martin Scorsese,2010,美国,剧情 悬疑 惊悚,8.9,1006093
81,蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.9,963389
82,致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan,2006,英国 美国,剧情 悬疑 惊悚,8.9,883030
83,哈利·波特与阿兹卡班的囚徒,导演: Alfonso Cuarón,2004,英国 美国,奇幻 冒险,8.9,759581
84,心灵捕手,导演: 格斯·范·桑特 Gus Van Sant,1997,美国,剧情,8.9,736116
85,超脱,导演: 托尼·凯耶 Tony Kaye,2011,美国,剧情,9.0,626778
86,低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,1994,美国,剧情 喜剧 犯罪,8.9,858006
87,海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos,2009,美国,纪录片,9.3,362765
88,摩登时代,导演: 查理·卓别林 Charles Chaplin,1936,美国,剧情 喜剧 爱情,9.3,310795
89,春光乍泄,导演: 王家卫 Kar Wai Wong,1997,中国香港 日本 韩国,剧情 爱情 同性,9.0,649043
90,美国往事,导演: 赛尔乔·莱翁内 Sergio Leone,1984,美国 意大利,犯罪 剧情,9.2,423006
91,喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,中国香港,喜剧 剧情 爱情,8.8,994878
92,致命ID,导演: 詹姆斯·曼高德 James Mangold,2003,美国,剧情 悬疑 惊悚,8.9,850227
93,杀人回忆,导演: 奉俊昊 Joon-ho Bong,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,739432
94,红辣椒,导演: 今敏 Satoshi Kon,2006,日本,动画 悬疑 科幻 惊悚,9.1,484312
95,七宗罪,导演: 大卫·芬奇 David Fincher,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,964292
96,哈利·波特与密室,导演: Chris Columbus,2002,英国 美国,奇幻 冒险,8.9,786732
97,加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski,2003,美国,动作 冒险 奇幻,8.8,882492
98,一一,导演: 杨德昌 Edward Yang,2000,中国台湾 日本,剧情 爱情 家庭,9.1,411577
99,狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,剧情,9.1,405530
100,唐伯虎点秋香,导演: 李力持 Lik-Chi Lee,1993,中国香港,喜剧 爱情 古装,8.7,1109609
101,7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee,2013,韩国,剧情 喜剧 家庭,8.9,571415
102,被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima,2006,日本,剧情 歌舞,8.9,718249
103,蝙蝠侠：黑暗骑士崛起,导演: 克里斯托弗·诺兰 Christopher Nolan,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.9,742268
104,请以你的名字呼唤我,导演: 卢卡·瓜达尼诺 Luca Guadagnino,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.8,742325
105,爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater,1995,美国 奥地利 瑞士,剧情 爱情,8.8,706123
106,剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton,1990,美国,剧情 奇幻 爱情,8.7,1054819
107,断背山,导演: 李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,721511
108,入殓师,导演: 泷田洋二郎 Yôjirô Takita,2008,日本,剧情,8.9,684322
109,第六感,导演: M·奈特·沙马兰 M. Night Shyamalan,1999,美国,剧情 悬疑 惊悚,8.9,571660
110,重庆森林,导演: 王家卫 Kar Wai Wong,1994,中国香港,剧情 爱情,8.8,834793
111,超能陆战队,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,1042848
112,勇敢的心,导演: 梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争,8.9,567970
113,甜蜜蜜,导演: 陈可辛 Peter Chan,1996,中国香港,剧情 爱情,8.9,577020
114,幽灵公主,导演: 宫崎骏 Hayao Miyazaki,1997,日本,动画 奇幻 冒险,8.9,537358
115,爱在日落黄昏时,导演: 理查德·林克莱特 Richard Linklater,2004,美国 法国,剧情 爱情,8.9,580122
116,菊次郎的夏天,导演: 北野武 Takeshi Kitano,1999,日本,剧情 喜剧,8.9,611185
117,寄生虫,导演: 奉俊昊 Joon-ho Bong,2019,韩国,剧情,8.8,1406820
118,借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,8.9,568778
119,消失的爱人,导演: 大卫·芬奇 David Fincher,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,981948
120,阳光灿烂的日子,导演: 姜文 Wen Jiang,1994,中国大陆 中国香港,剧情 爱情,8.8,629115
121,天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,剧情 喜剧 爱情,8.7,968070
122,完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,9.1,324175
123,无人知晓,导演: 是枝裕和 Hirokazu Koreeda,2004,日本,剧情,9.1,329420
124,倩女幽魂,导演: 程小东 Siu-Tung Ching,1987,中国香港,爱情 奇幻 武侠 古装,8.8,755400
125,小森林 夏秋篇,导演: 森淳一 Junichi Mori,2014,日本,剧情,9.0,435097
